1000	spooky wardrobe
1004	classic wardrobe
1008	blue wardrobe
100C	office locker
1010	Jingle wardrobe
1014	regal armoire
1018	cabana wardrobe
101C	cabin wardrobe
1020	lovely armoire
1024	green wardrobe
1028	pear wardrobe
102C	ranch wardrobe
1030	blue cabinet
1034	modern wardrobe
1038	exotic wardrobe
103C	Jingle dresser
1040	regal dresser
1044	cabana dresser
1048	cabin dresser
104C	lovely dresser
1050	spooky dresser
1054	green dresser
1058	pear dresser
105C	ranch dresser
1060	classic vanity
1064	blue bureau
1068	modern dresser
106C	exotic bureau
1070	kiddie dresser
1074	kiddie bureau
1078	kiddie wardrobe
107C	dresser
1080	tansu
1084	sewing box
1088	fan
108C	paper lantern
1090	tea table
1094	shogi board
1098	screen
109C	zabuton
10A0	bus stop
10A4	froggy chair
10A8	lily-pad table
10AC	refrigerator
10B0	chest
10B4	rack
10B8	red sofa
10BC	red armchair
10C0	hibachi
10C4	stove
10C8	cream sofa
10CC	tea tansu
10D0	pink kotatsu
10D4	blue kotatsu
10D8	folk guitar
10DC	country guitar
10E0	rock guitar
10E4	hinaningyo
10E8	Papa bear
10EC	Mama bear
10F0	Baby bear
10F4	classic hutch
10F8	classic chair
10FC	classic desk
1100	classic table
1104	classic cabinet
1108	rocking chair
110C	regal cupboard
1110	writing desk
1114	Keiko figurine
1118	Yuki figurine
111C	Yoko figurine
1120	Emi figurine
1124	Maki figurine
1128	Naomi figurine
112C	globe
1130	regal chair
1134	regal table
1138	retro TV
113C	eagle pole
1140	raven pole
1144	bear pole
1148	frog woman pole
114C	taiko drum
1150	space heater
1154	retro stereo
1158	cabana armchair
115C	classic sofa
1160	lovely end table
1164	lovely armchair
1168	ivory piano
116C	lovely lamp
1170	lovely kitchen
1174	lovely chair
1178	lovely bed
117C	classic clock
1180	cabana bed
1184	green golf bag
1188	white golf bag
118C	blue golf bag
1190	regal bookcase
1194	writing chair
1198	ranch couch
119C	ranch armchair
11A0	ranch tea table
11A4	ranch hutch
11A8	ranch bookcase
11AC	ranch chair
11B0	ranch bed
11B4	ranch table
11B8	computer
11BC	office desk
11C0	Master Sword
11C4	N logo
11C8	vibraphone
11CC	biwa lute
11D0	conga drum
11D4	extinguisher
11D8	ruby econo-chair
11DC	gold econo-chair
11E0	jade econo-chair
11E4	gold stereo
11E8	folding chair
11EC	lovely vanity
11F0	birdcage
11F4	timpano drum
11F8	nice speaker
11FC	birthday cake
1200	school desk
1204	graffiti desk
1208	towel desk
120C	tall cactus
1210	round cactus
1214	classic bed
1218	wide-screen TV
121C	lovely table
1220	kadomatsu
1224	kagamimochi
1228	low lantern
122C	tall lantern
1230	pond lantern
1234	office chair
1238	cubby hole
123C	letter cubby
1240	heavy chair
1244	school chair
1248	towel chair
124C	science table
1250	stepstool
1254	shrine lantern
1258	barrel
125C	keg
1260	vaulting horse
1264	glass-top table
1268	alarm clock
126C	tulip table
1270	daffodil table
1274	iris table
1278	blue vase
127C	tulip chair
1280	daffodil chair
1284	iris chair
1288	elephant slide
128C	toilet
1290	super toilet
1294	pine table
1298	pine chair
129C	tea vase
12A0	red vase
12A4	sewing machine
12A8	billiard table
12AC	famous painting
12B0	lovely painting
12B4	healing painting
12B8	moving painting
12BC	flowery painting
12C0	common painting
12C4	quaint painting
12C8	dainty painting
12CC	amazing painting
12D0	strange painting
12D4	rare painting
12D8	pleasant feeling painting
12DC	perfect painting
12E0	fine painting
12E4	worthy painting
12E8	pineapple bed
12EC	orange chair
12F0	unused dresser
12F4	lemon table
12F8	apple TV
12FC	table tennis
1300	harp
1304	cabin clock
1308	train set
130C	water bird
1310	wobbelina
1314	unused monkey
1318	slot machine
131C	exotic bench
1320	exotic chair
1324	exotic chest
1328	exotic lamp
132C	caladium
1330	lady palm
1334	exotic screen
1338	exotic table
133C	djimbe drum
1340	modern bed
1344	modern den chair
1348	modern cabinet
134C	modern desk
1350	modern sofa
1354	modern table
1358	blue bed
135C	blue bench
1360	blue chair
1364	blue dresser
1368	blue bookcase
136C	blue table
1370	green bed
1374	green bench
1378	green chair
137C	green pantry
1380	green counter
1384	green lamp
1388	green table
138C	cabin bed
1390	cabin couch
1394	cabin armchair
1398	cabin bookcase
139C	cabin low table
13A0	aloe
13A4	bromeliaceae
13A8	coconut palm
13AC	snake plant
13B0	dracaena
13B4	rubber tree
13B8	pothos
13BC	fan palm
13C0	grapefruit table
13C4	lime chair
13C8	weeping fig
13CC	corn plant
13D0	croton
13D4	pachira
13D8	cactus
13DC	metronome
13E0	deer scare
13E4	pine bonsai
13E8	mugho bonsai
13EC	barber's pole
13F0	ponderosa bonsai
13F4	plum bonsai
13F8	giant dharma
13FC	dharma
1400	mini-dharma
1404	quince bonsai
1408	azalea bonsai
140C	jasmine bonsai
1410	executive toy
1414	traffic cone
1418	striped cone
141C	orange cone
1420	cola machine
1424	maple bonsai
1428	hawthorn bonsai
142C	holly bonsai
1430	barricade
1434	fence
1438	plastic fence
143C	fence and sign
1440	soda machine
1444	manhole cover
1448	pop machine
144C	brown drum
1450	green drum
1454	red drum
1458	juice machine
145C	iron frame
1460	trash can
1464	garbage pail
1468	watermelon chair
146C	melon chair
1470	watermelon table
1474	robotic  flagman
1478	garbage can
147C	trash bin
1480	violin
1484	bass
1488	cello
148C	ebony piano
1490	zen basin
1494	handcart
1498	wash basin
149C	jack-o'-lantern
14A0	warning sign
14A4	detour arrow
14A8	garden stone
14AC	standing stone
14B0	route sign
14B4	men working sign
14B8	caution sign
14BC	temple basin
14C0	spooky bed
14C4	jack-in-the-box
14C8	spooky chair
14CC	unused chair
14D0	spooky bookcase
14D4	spooky sofa
